datetime,AAPL,GOOG,cash,commission,total,comission,returns,equity_curve,drawdown
2020-09-09,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-10,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-11,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-14,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-15,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-16,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-17,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-18,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-21,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-22,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-23,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-24,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-25,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-28,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-29,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-30,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-01,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-02,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-05,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-05,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
